TOTALS: 252 of 252 Registered voters Ballots Cast Turnout Democratic Party Republican Party Libertarian Party US Taxpayers Party Working Class Party Green Party Natural Law Party
TOTAL 501,117 362,074 72.25% 102,424 106,223 1,501 288 759 478 180
Ada Township Precinct 1 1,316 1,090 82.83% 254 307 0 0 2 1 0
Ada Township Precinct 2 2,428 1,979 81.51% 452 531 2 0 1 2 1
Ada Township Precinct 3 1,397 1,152 82.46% 212 365 2 0 0 0 0
Ada Township Precinct 4 1,168 982 84.08% 167 410 2 0 0 0 0
Ada Township Precinct 5 2,112 1,765 83.57% 269 705 6 1 2 1 1
Ada Township Precinct 6 1,031 824 79.92% 183 236 2 0 0 3 0
Ada Township Precinct 7 1,189 1,016 85.45% 199 266 4 0 0 1 0
Ada Township Precinct 8 1,202 990 82.36% 197 343 4 0 0 0 0
Algoma Township Precinct 1 1,355 1,096 80.89% 187 470 4 0 2 1 0
Algoma Township Precinct 2 1,648 1,391 84.41% 217 558 3 0 4 0 0
Algoma Township Precinct 3 1,766 1,469 83.18% 205 646 4 0 3 1 0
Algoma Township Precinct 4 1,873 1,426 76.13% 275 537 8 0 3 0 0
Algoma Township Precinct 5 2,513 2,113 84.08% 351 816 3 0 3 2 0
Alpine Township Precinct 1 1,135 876 77.18% 170 288 6 0 1 0 0
Alpine Township Precinct 2 1,428 997 69.82% 274 304 6 0 3 0 2
Alpine Township Precinct 3 2,350 1,856 78.98% 423 559 8 0 3 2 0
Alpine Township Precinct 4 2,388 1,601 67.04% 370 586 7 3 6 3 0
Alpine Township Precinct 5 1,053 845 80.25% 124 327 4 0 3 2 0
Alpine Township Precinct 6 2,173 1,056 48.6% 451 202 4 3 4 3 2
Bowne Township Precinct 1 2,578 2,155 83.59% 208 1,006 0 0 3 2 1
Byron Township Precinct 1 2,655 2,214 83.39% 252 987 7 1 3 4 0
Byron Township Precinct 2 2,872 2,492 86.77% 327 1,100 8 3 0 2 0
Byron Township Precinct 3 3,128 1,561 49.9% 495 538 13 2 2 4 2
Byron Township Precinct 4 2,179 1,941 89.08% 169 1,003 1 2 1 0 0
Byron Township Precinct 5 2,618 2,264 86.48% 232 1,076 5 2 1 2 0
Byron Township Precinct 6 1,585 1,333 84.1% 183 534 7 1 0 0 0
Byron Township Precinct 7 2,610 2,117 81.11% 358 840 7 0 2 0 1
Byron Township Precinct 8 2,407 2,002 83.17% 420 774 8 0 1 2 1
Caledonia Charter Township Precinct 1 1,286 994 77.29% 179 353 4 2 0 0 0
Caledonia Charter Township Precinct 2 2,250 1,799 79.96% 287 785 5 0 6 1 0
Caledonia Charter Township Precinct 3 2,227 1,825 81.95% 228 760 8 3 4 2 0
Caledonia Charter Township Precinct 4 1,440 1,225 85.07% 149 534 3 1 2 0 0
Caledonia Charter Township Precinct 5 2,691 2,192 81.46% 328 875 6 1 0 1 1
Caledonia Charter Township Precinct 6 2,131 1,701 79.82% 294 627 3 1 2 2 1
Cannon Township Precinct 1 2,238 1,907 85.21% 291 703 8 1 1 1 0
Cannon Township Precinct 2 2,068 1,705 82.45% 272 654 3 1 2 1 0
Cannon Township Precinct 3 1,663 1,409 84.73% 244 507 3 0 1 2 0
Cannon Township Precinct 4 2,515 2,113 84.02% 370 713 5 1 4 2 0
Cannon Township Precinct 5 1,649 1,363 82.66% 201 502 5 0 1 3 1
Cannon Township Precinct 6 2,005 1,650 82.29% 242 565 2 1 4 0 0
Cascade Charter Township Precinct 1 1,502 1,289 85.82% 226 444 1 0 0 0 0
Cascade Charter Township Precinct 2 1,798 1,516 84.32% 292 476 1 1 0 1 0
Cascade Charter Township Precinct 3 1,229 1,047 85.19% 205 347 2 0 0 1 1
Cascade Charter Township Precinct 4 1,778 1,539 86.56% 295 453 7 0 2 0 0
Cascade Charter Township Precinct 5 2,468 2,084 84.44% 358 708 4 0 2 0 0
Cascade Charter Township Precinct 6 1,602 1,338 83.52% 342 353 4 0 2 1 0
Cascade Charter Township Precinct 7 1,413 1,074 76.01% 267 397 5 1 0 1 0
Cascade Charter Township Precinct 8 1,390 1,207 86.83% 285 308 2 1 1 0 0
Cascade Charter Township Precinct 9 1,469 1,263 85.98% 256 343 1 0 1 1 1
Cascade Charter Township Precinct 10 1,432 1,221 85.27% 187 423 5 0 0 1 0
Cedar Springs City Precinct 1 2,551 1,562 61.23% 302 612 7 0 7 0 3
Courtland Township Precinct 1 2,216 1,854 83.66% 298 588 5 0 1 0 1
Courtland Township Precinct 2 2,502 2,070 82.73% 323 868 6 1 2 2 0
Courtland Township Precinct 3 2,485 2,031 81.73% 308 829 9 0 2 2 0
East Grand Rapids City Ward 1 Precinct 1 1,603 1,348 84.09% 446 261 2 1 0 0 2
East Grand Rapids City Ward 1 Precinct 2 1,548 1,311 84.69% 349 272 2 0 0 1 0
East Grand Rapids City Ward 2 Precinct 3 1,625 1,366 84.06% 400 279 1 0 0 0 0
East Grand Rapids City Ward 2 Precinct 4 1,448 1,191 82.25% 371 229 1 0 0 0 0
East Grand Rapids City Ward 3 Precinct 5 1,566 1,312 83.78% 391 185 2 0 0 0 0
East Grand Rapids City Ward 3 Precinct 6 1,609 1,358 84.4% 418 226 5 0 0 2 0
Gaines Charter Township Precinct 1 2,336 1,988 85.1% 266 996 6 2 0 1 0
Gaines Charter Township Precinct 2 1,777 1,423 80.08% 364 498 6 3 3 0 2
Gaines Charter Township Precinct 3 2,317 1,604 69.23% 324 667 13 0 5 3 0
Gaines Charter Township Precinct 4 3,272 1,642 50.18% 587 523 9 6 12 4 1
Gaines Charter Township Precinct 5 2,159 1,318 61.05% 480 343 7 0 3 2 1
Gaines Charter Township Precinct 6 2,085 1,689 81.01% 302 679 4 1 2 0 0
Gaines Charter Township Precinct 7 2,822 2,345 83.1% 418 983 7 0 3 3 0
Gaines Charter Township Precinct 8 2,548 1,910 74.96% 400 736 5 0 0 1 1
Gaines Charter Township Precinct 9 1,927 1,452 75.35% 462 392 2 1 7 0 0
Grand Rapids Charter Township Precinct 1 1,706 1,380 80.89% 307 451 3 0 0 1 0
Grand Rapids Charter Township Precinct 2 1,103 911 82.59% 243 260 2 0 3 0 0
Grand Rapids Charter Township Precinct 3 1,904 1,585 83.25% 439 431 3 0 1 0 0
Grand Rapids Charter Township Precinct 4 2,026 1,701 83.96% 424 447 3 1 3 3 0
Grand Rapids Charter Township Precinct 5 2,017 1,654 82% 390 466 4 1 1 2 0
Grand Rapids Charter Township Precinct 6 1,835 1,522 82.94% 340 460 10 3 3 4 2
Grand Rapids Charter Township Precinct 7 1,087 802 73.78% 207 247 3 0 1 1 0
Grand Rapids Charter Township Precinct 8 1,996 1,652 82.77% 405 454 7 1 3 2 0
Grand Rapids Charter Township Precinct 9 1,257 1,079 85.84% 200 364 4 2 0 0 0
Grand Rapids City Ward 1 Precinct 1 2,746 1,555 56.63% 659 243 13 3 7 13 2
Grand Rapids City Ward 1 Precinct 2 1,467 748 50.99% 350 119 6 5 2 2 0
Grand Rapids City Ward 1 Precinct 3 2,115 1,591 75.22% 705 231 3 2 2 4 0
Grand Rapids City Ward 1 Precinct 4 1,902 1,398 73.5% 595 154 2 2 2 5 0
Grand Rapids City Ward 1 Precinct 5 1,465 885 60.41% 379 139 10 1 4 4 0
Grand Rapids City Ward 1 Precinct 6 2,288 1,822 79.63% 519 489 6 1 2 3 0
Grand Rapids City Ward 1 Precinct 8 1,319 1,084 82.18% 333 213 8 1 3 2 1
Grand Rapids City Ward 1 Precinct 9 3,094 1,273 41.14% 596 203 6 2 3 3 0
Grand Rapids City Ward 1 Precinct 10 1,821 1,310 71.94% 499 277 6 0 3 0 0
Grand Rapids City Ward 1 Precinct 11 1,772 1,459 82.34% 373 425 8 2 4 2 2
Grand Rapids City Ward 1 Precinct 12 2,224 1,162 52.25% 558 192 12 2 3 4 1
Grand Rapids City Ward 1 Precinct 13 2,455 1,359 55.36% 564 224 12 1 3 9 0
Grand Rapids City Ward 1 Precinct 14 2,301 1,625 70.62% 549 342 8 2 5 4 0
Grand Rapids City Ward 1 Precinct 15 2,315 934 40.35% 616 117 4 2 12 3 2
Grand Rapids City Ward 1 Precinct 16 2,456 1,110 45.2% 710 117 7 4 7 3 5
Grand Rapids City Ward 1 Precinct 17 2,537 1,488 58.65% 574 334 14 1 10 1 1
Grand Rapids City Ward 1 Precinct 18 1,323 600 45.35% 417 51 4 0 4 0 4
Grand Rapids City Ward 1 Precinct 19 2,393 1,364 57% 580 265 10 2 11 8 2
Grand Rapids City Ward 1 Precinct 20 2,277 1,955 85.86% 481 565 6 2 2 1 2
Grand Rapids City Ward 1 Precinct 21 1,964 1,655 84.27% 398 514 7 0 2 2 0
Grand Rapids City Ward 1 Precinct 22 819 362 44.2% 255 41 4 1 2 0 0
Grand Rapids City Ward 1 Precinct 23 1,903 1,584 83.24% 381 467 7 1 3 2 1
Grand Rapids City Ward 1 Precinct 24 1,998 703 35.19% 503 58 5 1 1 1 0
Grand Rapids City Ward 2 Precinct 25 1,398 975 69.74% 448 89 6 1 1 3 1
Grand Rapids City Ward 2 Precinct 26 1,783 1,226 68.76% 494 213 5 0 2 1 1
Grand Rapids City Ward 2 Precinct 27 1,400 962 68.71% 360 150 5 0 1 1 0
Grand Rapids City Ward 2 Precinct 28 2,172 1,464 67.4% 620 249 8 1 4 3 2
Grand Rapids City Ward 2 Precinct 29 2,107 1,112 52.78% 556 176 9 4 1 2 1
Grand Rapids City Ward 2 Precinct 30 1,757 1,434 81.62% 512 199 4 0 1 2 0
Grand Rapids City Ward 2 Precinct 31 2,472 1,532 61.97% 650 244 15 5 7 10 2
Grand Rapids City Ward 2 Precinct 32 1,632 1,023 62.68% 419 161 6 0 2 3 0
Grand Rapids City Ward 2 Precinct 33 1,000 767 76.7% 328 66 1 2 1 2 0
Grand Rapids City Ward 2 Precinct 34 2,280 1,568 68.77% 690 301 7 2 5 2 0
Grand Rapids City Ward 2 Precinct 35 2,006 1,590 79.26% 445 376 4 2 0 3 0
Grand Rapids City Ward 2 Precinct 36 1,170 776 66.32% 335 167 1 2 2 2 2
Grand Rapids City Ward 2 Precinct 37 2,590 2,034 78.53% 658 405 7 0 2 5 2
Grand Rapids City Ward 2 Precinct 38 3,147 2,069 65.75% 844 281 16 0 6 1 1
Grand Rapids City Ward 2 Precinct 39 1,103 701 63.55% 300 55 7 0 0 2 1
Grand Rapids City Ward 2 Precinct 40 2,011 1,468 73% 696 113 2 0 2 4 0
Grand Rapids City Ward 2 Precinct 41 2,583 1,916 74.18% 588 499 11 3 5 3 1
Grand Rapids City Ward 2 Precinct 42 2,015 1,609 79.85% 562 320 4 0 7 2 0
Grand Rapids City Ward 2 Precinct 43 1,919 1,476 76.92% 452 329 6 0 0 3 0
Grand Rapids City Ward 2 Precinct 44 2,019 1,527 75.63% 444 416 7 0 1 1 0
Grand Rapids City Ward 2 Precinct 45 2,230 1,763 79.06% 541 484 5 1 4 1 1
Grand Rapids City Ward 2 Precinct 46 2,456 1,650 67.18% 640 382 5 5 3 0 0
Grand Rapids City Ward 2 Precinct 47 1,847 1,519 82.24% 493 297 6 0 4 1 2
Grand Rapids City Ward 2 Precinct 48 1,698 1,126 66.31% 511 132 8 1 3 2 0
Grand Rapids City Ward 2 Precinct 49 2,224 1,440 64.75% 678 141 14 0 2 3 3
Grand Rapids City Ward 2 Precinct 50 2,528 1,718 67.96% 765 125 14 0 2 2 0
Grand Rapids City Ward 3 Precinct 51 1,978 1,224 61.88% 628 244 10 2 8 1 1
Grand Rapids City Ward 3 Precinct 52 992 620 62.5% 320 42 3 1 2 0 0
Grand Rapids City Ward 3 Precinct 53 2,847 1,988 69.83% 598 528 7 0 2 4 0
Grand Rapids City Ward 3 Precinct 54 1,594 1,183 74.22% 399 284 4 1 2 2 0
Grand Rapids City Ward 3 Precinct 55 2,274 1,776 78.1% 589 363 3 1 4 2 0
Grand Rapids City Ward 3 Precinct 56 2,102 1,579 75.12% 599 375 5 2 2 2 0
Grand Rapids City Ward 3 Precinct 57 1,356 994 73.3% 422 188 2 2 2 1 0
Grand Rapids City Ward 3 Precinct 58 2,045 1,514 74.03% 572 346 5 0 3 0 0
Grand Rapids City Ward 3 Precinct 59 2,518 1,932 76.73% 778 298 5 4 2 0 2
Grand Rapids City Ward 3 Precinct 60 2,591 1,607 62.02% 870 120 3 0 6 4 1
Grand Rapids City Ward 3 Precinct 61 943 686 72.75% 287 92 3 1 2 2 0
Grand Rapids City Ward 3 Precinct 62 1,951 1,090 55.87% 679 91 6 1 4 1 1
Grand Rapids City Ward 3 Precinct 63 1,992 1,159 58.18% 717 89 5 1 4 1 0
Grand Rapids City Ward 3 Precinct 64 2,207 1,195 54.15% 673 155 8 3 3 3 1
Grand Rapids City Ward 3 Precinct 65 2,143 1,250 58.33% 666 189 5 1 8 1 3
Grand Rapids City Ward 3 Precinct 66 2,538 610 24.03% 452 50 2 1 4 1 1
Grand Rapids City Ward 3 Precinct 67 3,004 1,407 46.84% 1,019 81 6 3 6 5 3
Grand Rapids City Ward 3 Precinct 68 1,705 1,280 75.07% 561 111 3 0 0 0 1
Grand Rapids City Ward 3 Precinct 69 1,437 1,140 79.33% 310 293 3 1 0 2 0
Grand Rapids City Ward 3 Precinct 70 1,957 908 46.4% 671 48 4 3 9 1 3
Grand Rapids City Ward 3 Precinct 71 1,785 1,177 65.94% 608 114 6 1 3 3 1
Grand Rapids City Ward 3 Precinct 72 932 719 77.15% 251 116 7 0 1 0 0
