TOTALS: 252 of 252	Registered voters	Ballots Cast	Turnout	Gary Peters	John James	Valerie L. Willis	Marcia Squier	Doug Dern	Total write-in
TOTAL	501,117	363,695	72.58%	175,256	176,795	2,948	2,956	722	357
Ada Township Precinct 1	1,316	1,095	83.21%	538	542	3	3	0	0
Ada Township Precinct 2	2,428	1,979	81.51%	918	1,007	10	10	0	1
Ada Township Precinct 3	1,397	1,152	82.46%	447	677	8	9	0	0
Ada Township Precinct 4	1,168	982	84.08%	345	621	3	3	0	0
Ada Township Precinct 5	2,112	1,765	83.57%	588	1,132	7	11	2	1
Ada Township Precinct 6	1,031	824	79.92%	369	440	2	3	0	1
Ada Township Precinct 7	1,189	1,016	85.45%	464	538	3	5	0	0
Ada Township Precinct 8	1,202	990	82.36%	410	564	4	4	2	0
Algoma Township Precinct 1	1,355	1,096	80.89%	335	726	13	6	4	0
Algoma Township Precinct 2	1,648	1,391	84.41%	436	920	10	9	2	0
Algoma Township Precinct 3	1,766	1,469	83.18%	437	999	9	4	2	0
Algoma Township Precinct 4	1,873	1,426	76.13%	516	867	9	7	2	0
Algoma Township Precinct 5	2,513	2,113	84.08%	768	1,292	10	10	3	0
Alpine Township Precinct 1	1,135	877	77.27%	333	509	12	6	1	1
Alpine Township Precinct 2	1,428	998	69.89%	477	482	12	7	2	1
Alpine Township Precinct 3	2,350	1,856	78.98%	835	942	16	21	7	1
Alpine Township Precinct 4	2,388	1,601	67.04%	610	923	17	15	3	1
Alpine Township Precinct 5	1,053	845	80.25%	268	552	8	4	4	1
Alpine Township Precinct 6	2,173	1,056	48.6%	682	320	16	17	4	1
Bowne Township Precinct 1	2,578	2,155	83.59%	508	1,591	10	10	1	3
Byron Township Precinct 1	2,655	2,214	83.39%	572	1,583	9	18	1	2
Byron Township Precinct 2	2,872	2,492	86.77%	697	1,739	12	10	4	2
Byron Township Precinct 3	3,128	1,561	49.9%	716	789	21	15	5	1
Byron Township Precinct 4	2,179	1,941	89.08%	387	1,529	5	5	1	0
Byron Township Precinct 5	2,618	2,264	86.48%	511	1,705	9	8	1	2
Byron Township Precinct 6	1,585	1,333	84.1%	417	893	9	2	1	0
Byron Township Precinct 7	2,610	2,117	81.11%	683	1,378	12	12	3	3
Byron Township Precinct 8	2,407	2,002	83.17%	755	1,183	18	14	1	2
Caledonia Charter Township Precinct 1	1,286	994	77.29%	382	585	4	8	1	0
Caledonia Charter Township Precinct 2	2,250	1,799	79.96%	546	1,207	8	10	2	1
Caledonia Charter Township Precinct 3	2,227	1,825	81.95%	525	1,255	15	13	1	1
Caledonia Charter Township Precinct 4	1,440	1,226	85.14%	323	878	6	5	0	3
Caledonia Charter Township Precinct 5	2,691	2,192	81.46%	667	1,475	10	13	2	1
Caledonia Charter Township Precinct 6	2,131	1,701	79.82%	610	1,043	14	13	2	0
Cannon Township Precinct 1	2,238	1,907	85.21%	652	1,212	6	15	4	0
Cannon Township Precinct 2	2,068	1,705	82.45%	544	1,118	8	9	2	0
Cannon Township Precinct 3	1,663	1,409	84.73%	521	852	7	12	2	0
Cannon Township Precinct 4	2,515	2,113	84.02%	798	1,263	15	10	4	1
Cannon Township Precinct 5	1,649	1,363	82.66%	444	879	11	7	2	0
Cannon Township Precinct 6	2,005	1,650	82.29%	575	1,026	8	13	0	1
Cascade Charter Township Precinct 1	1,502	1,289	85.82%	502	769	1	2	0	1
Cascade Charter Township Precinct 2	1,798	1,516	84.32%	611	884	1	4	0	0
Cascade Charter Township Precinct 3	1,229	1,047	85.19%	421	608	3	4	1	1
Cascade Charter Township Precinct 4	1,778	1,539	86.56%	659	852	5	4	3	1
Cascade Charter Township Precinct 5	2,468	2,084	84.44%	755	1,289	9	9	0	0
Cascade Charter Township Precinct 6	1,602	1,338	83.52%	665	648	5	5	1	0
Cascade Charter Township Precinct 7	1,413	1,074	76.01%	469	580	3	4	1	0
Cascade Charter Township Precinct 8	1,390	1,207	86.83%	602	586	2	5	0	0
Cascade Charter Township Precinct 9	1,469	1,263	85.98%	574	658	6	10	0	1
Cascade Charter Township Precinct 10	1,432	1,221	85.27%	432	763	3	10	0	0
Cedar Springs City Precinct 1	2,551	1,562	61.23%	533	966	20	15	5	2
Courtland Township Precinct 1	2,216	1,854	83.66%	686	1,116	5	7	4	0
Courtland Township Precinct 2	2,502	2,069	82.69%	619	1,382	12	10	7	1
Courtland Township Precinct 3	2,485	2,031	81.73%	645	1,332	11	6	3	1
East Grand Rapids City Ward 1 Precinct 1	1,603	1,347	84.03%	796	523	0	4	3	0
East Grand Rapids City Ward 1 Precinct 2	1,548	1,311	84.69%	694	590	2	5	2	0
East Grand Rapids City Ward 2 Precinct 3	1,625	1,366	84.06%	809	539	2	5	0	0
East Grand Rapids City Ward 2 Precinct 4	1,448	1,191	82.25%	737	437	0	8	1	0
East Grand Rapids City Ward 3 Precinct 5	1,566	1,312	83.78%	833	460	2	7	0	1
East Grand Rapids City Ward 3 Precinct 6	1,609	1,358	84.4%	872	468	2	4	3	0
Gaines Charter Township Precinct 1	2,336	1,988	85.1%	486	1,447	10	9	1	2
Gaines Charter Township Precinct 2	1,777	1,423	80.08%	599	785	9	6	1	1
Gaines Charter Township Precinct 3	2,317	1,604	69.23%	555	1,002	17	8	4	2
Gaines Charter Township Precinct 4	3,272	1,642	50.18%	790	753	37	25	2	5
Gaines Charter Township Precinct 5	2,159	1,318	61.05%	747	515	17	14	5	4
Gaines Charter Township Precinct 6	2,085	1,689	81.01%	535	1,122	9	9	1	1
Gaines Charter Township Precinct 7	2,822	2,345	83.1%	770	1,522	10	16	1	1
Gaines Charter Township Precinct 8	2,548	1,910	74.96%	723	1,118	15	20	5	2
Gaines Charter Township Precinct 9	1,927	1,452	75.35%	752	666	8	6	1	3
Grand Rapids Charter Township Precinct 1	1,706	1,380	80.89%	586	760	3	14	2	0
Grand Rapids Charter Township Precinct 2	1,103	911	82.59%	446	449	3	3	0	0
Grand Rapids Charter Township Precinct 3	1,904	1,585	83.25%	794	760	5	7	0	0
Grand Rapids Charter Township Precinct 4	2,026	1,701	83.96%	827	834	3	9	3	1
Grand Rapids Charter Township Precinct 5	2,017	1,654	82%	804	804	3	12	1	0
Grand Rapids Charter Township Precinct 6	1,835	1,522	82.94%	684	783	12	17	3	1
Grand Rapids Charter Township Precinct 7	1,087	802	73.78%	377	411	1	4	1	1
Grand Rapids Charter Township Precinct 8	1,996	1,652	82.77%	775	852	4	6	0	1
Grand Rapids Charter Township Precinct 9	1,257	1,079	85.84%	446	616	6	3	1	1
