precinct,registered_voters,ballots_cast,turnout,democratic_party,republican_party,libertarian_party,us_taxpayers_party,working_class_party,green_party,natural_law_party
Ada Township Precinct 1,1316,1090,82.83,254,307,0,0,2,1,0
Ada Township Precinct 2,2428,1979,81.51,452,531,2,0,1,2,1
Ada Township Precinct 3,1397,1152,82.46,212,365,2,0,0,0,0
Ada Township Precinct 4,1168,982,84.08,167,410,2,0,0,0,0
Ada Township Precinct 5,2112,1765,83.57,269,705,6,1,2,1,1
Ada Township Precinct 6,1031,824,79.92,183,236,2,0,0,3,0
Ada Township Precinct 7,1189,1016,85.45,199,266,4,0,0,1,0
Ada Township Precinct 8,1202,990,82.36,197,343,4,0,0,0,0
Algoma Township Precinct 1,1355,1096,80.89,187,470,4,0,2,1,0
Algoma Township Precinct 2,1648,1391,84.41,217,558,3,0,4,0,0
Algoma Township Precinct 3,1766,1469,83.18,205,646,4,0,3,1,0
Algoma Township Precinct 4,1873,1426,76.13,275,537,8,0,3,0,0
Algoma Township Precinct 5,2513,2113,84.08,351,816,3,0,3,2,0
Alpine Township Precinct 1,1135,876,77.18,170,288,6,0,1,0,0
Alpine Township Precinct 2,1428,997,69.82,274,304,6,0,3,0,2
Alpine Township Precinct 3,2350,1856,78.98,423,559,8,0,3,2,0
Alpine Township Precinct 4,2388,1601,67.04,370,586,7,3,6,3,0
Alpine Township Precinct 5,1053,845,80.25,124,327,4,0,3,2,0
Alpine Township Precinct 6,2173,1056,48.6,451,202,4,3,4,3,2
Bowne Township Precinct 1,2578,2155,83.59,208,1006,0,0,3,2,1
Byron Township Precinct 1,2655,2214,83.39,252,987,7,1,3,4,0
Byron Township Precinct 2,2872,2492,86.77,327,1100,8,3,0,2,0
Byron Township Precinct 3,3128,1561,49.9,495,538,13,2,2,4,2
Byron Township Precinct 4,2179,1941,89.08,169,1003,1,2,1,0,0
Byron Township Precinct 5,2618,2264,86.48,232,1076,5,2,1,2,0
Byron Township Precinct 6,1585,1333,84.1,183,534,7,1,0,0,0
Byron Township Precinct 7,2610,2117,81.11,358,840,7,0,2,0,1
Byron Township Precinct 8,2407,2002,83.17,420,774,8,0,1,2,1
Caledonia Charter Township Precinct 1,1286,994,77.29,179,353,4,2,0,0,0
Caledonia Charter Township Precinct 2,2250,1799,79.96,287,785,5,0,6,1,0
Caledonia Charter Township Precinct 3,2227,1825,81.95,228,760,8,3,4,2,0
Caledonia Charter Township Precinct 4,1440,1225,85.07,149,534,3,1,2,0,0
Caledonia Charter Township Precinct 5,2691,2192,81.46,328,875,6,1,0,1,1
Caledonia Charter Township Precinct 6,2131,1701,79.82,294,627,3,1,2,2,1
Cannon Township Precinct 1,2238,1907,85.21,291,703,8,1,1,1,0
Cannon Township Precinct 2,2068,1705,82.45,272,654,3,1,2,1,0
Cannon Township Precinct 3,1663,1409,84.73,244,507,3,0,1,2,0
Cannon Township Precinct 4,2515,2113,84.02,370,713,5,1,4,2,0
Cannon Township Precinct 5,1649,1363,82.66,201,502,5,0,1,3,1
Cannon Township Precinct 6,2005,1650,82.29,242,565,2,1,4,0,0
Cascade Charter Township Precinct 1,1502,1289,85.82,226,444,1,0,0,0,0
Cascade Charter Township Precinct 2,1798,1516,84.32,292,476,1,1,0,1,0
Cascade Charter Township Precinct 3,1229,1047,85.19,205,347,2,0,0,1,1
Cascade Charter Township Precinct 4,1778,1539,86.56,295,453,7,0,2,0,0
Cascade Charter Township Precinct 5,2468,2084,84.44,358,708,4,0,2,0,0
Cascade Charter Township Precinct 6,1602,1338,83.52,342,353,4,0,2,1,0
Cascade Charter Township Precinct 7,1413,1074,76.01,267,397,5,1,0,1,0
Cascade Charter Township Precinct 8,1390,1207,86.83,285,308,2,1,1,0,0
Cascade Charter Township Precinct 9,1469,1263,85.98,256,343,1,0,1,1,1
Cascade Charter Township Precinct 10,1432,1221,85.27,187,423,5,0,0,1,0
Cedar Springs City Precinct 1,2551,1562,61.23,302,612,7,0,7,0,3
Courtland Township Precinct 1,2216,1854,83.66,298,588,5,0,1,0,1
Courtland Township Precinct 2,2502,2070,82.73,323,868,6,1,2,2,0
Courtland Township Precinct 3,2485,2031,81.73,308,829,9,0,2,2,0
East Grand Rapids City Ward 1 Precinct 1,1603,1348,84.09,446,261,2,1,0,0,2
East Grand Rapids City Ward 1 Precinct 2,1548,1311,84.69,349,272,2,0,0,1,0
East Grand Rapids City Ward 2 Precinct 3,1625,1366,84.06,400,279,1,0,0,0,0
East Grand Rapids City Ward 2 Precinct 4,1448,1191,82.25,371,229,1,0,0,0,0
East Grand Rapids City Ward 3 Precinct 5,1566,1312,83.78,391,185,2,0,0,0,0
East Grand Rapids City Ward 3 Precinct 6,1609,1358,84.4,418,226,5,0,0,2,0
Gaines Charter Township Precinct 1,2336,1988,85.1,266,996,6,2,0,1,0
Gaines Charter Township Precinct 2,1777,1423,80.08,364,498,6,3,3,0,2
Gaines Charter Township Precinct 3,2317,1604,69.23,324,667,13,0,5,3,0
Gaines Charter Township Precinct 4,3272,1642,50.18,587,523,9,6,12,4,1
