precinct,registered_voters,ballots_cast,turnout,democratic_party,republican_party,libertarian_party,us_taxpayers_party,working_class_party,green_party,natural_law_party
Charter Township of Brownstown Precinct 1,0,0,0,0,0,0,0,0,0,0
Charter Township of Brownstown Precinct 2,0,0,0,0,0,0,0,0,0,0
Charter Township of Brownstown Precinct 3,0,0,0,0,0,0,0,0,0,0
Charter Township of Brownstown Precinct 4,0,0,0,0,0,0,0,0,0,0
Charter Township of Brownstown Precinct 5,0,0,0,0,0,0,0,0,0,0
Charter Township of Brownstown Precinct 6,0,0,0,0,0,0,0,0,0,0
Charter Township of Brownstown Precinct 7,0,0,0,0,0,0,0,0,0,0
Charter Township of Brownstown Precinct 8,0,0,0,0,0,0,0,0,0,0
Charter Township of Brownstown Precinct 9,0,0,0,0,0,0,0,0,0,0
Charter Township of Brownstown Precinct 10,0,0,0,0,0,0,0,0,0,0
Charter Township of Brownstown Precinct 11,0,0,0,0,0,0,0,0,0,0
Charter Township of Brownstown Precinct 12,0,0,0,0,0,0,0,0,0,0
Charter Township of Canton Precinct 1,0,0,0,0,0,0,0,0,0,0
Charter Township of Canton Precinct 2,0,0,0,0,0,0,0,0,0,0
Charter Township of Canton Precinct 3,0,0,0,0,0,0,0,0,0,0
Charter Township of Canton Precinct 4,0,0,0,0,0,0,0,0,0,0
Charter Township of Canton Precinct 5,0,0,0,0,0,0,0,0,0,0
Charter Township of Canton Precinct 6,0,0,0,0,0,0,0,0,0,0
Charter Township of Canton Precinct 7,0,0,0,0,0,0,0,0,0,0
Charter Township of Canton Precinct 8,0,0,0,0,0,0,0,0,0,0
Charter Township of Canton Precinct 9,0,0,0,0,0,0,0,0,0,0
Charter Township of Canton Precinct 10,0,0,0,0,0,0,0,0,0,0
Charter Township of Canton Precinct 11,0,0,0,0,0,0,0,0,0,0
Charter Township of Canton Precinct 12,0,0,0,0,0,0,0,0,0,0
Charter Township of Canton Precinct 13,0,0,0,0,0,0,0,0,0,0
Charter Township of Canton Precinct 14,0,0,0,0,0,0,0,0,0,0
Charter Township of Canton Precinct 15,0,0,0,0,0,0,0,0,0,0
Charter Township of Canton Precinct 16,0,0,0,0,0,0,0,0,0,0
Charter Township of Canton Precinct 17,0,0,0,0,0,0,0,0,0,0
Charter Township of Canton Precinct 18,0,0,0,0,0,0,0,0,0,0
Charter Township of Canton Precinct 19,0,0,0,0,0,0,0,0,0,0
Charter Township of Canton Precinct 20,0,0,0,0,0,0,0,0,0,0
Charter Township of Canton Precinct 21,0,0,0,0,0,0,0,0,0,0
Charter Township of Canton Precinct 22,0,0,0,0,0,0,0,0,0,0
Charter Township of Canton Precinct 23,0,0,0,0,0,0,0,0,0,0
Charter Township of Canton Precinct 24,0,0,0,0,0,0,0,0,0,0
Charter Township of Canton Precinct 25,0,0,0,0,0,0,0,0,0,0
Charter Township of Canton Precinct 26,0,0,0,0,0,0,0,0,0,0
Charter Township of Canton Precinct 27,0,0,0,0,0,0,0,0,0,0
Charter Township of Canton Precinct 28,0,0,0,0,0,0,0,0,0,0
Charter Township of Canton Precinct 29,0,0,0,0,0,0,0,0,0,0
Charter Township of Canton Precinct 30,0,0,0,0,0,0,0,0,0,0
Charter Township of Canton Precinct 31,0,0,0,0,0,0,0,0,0,0
Charter Township of Canton Precinct 32,0,0,0,0,0,0,0,0,0,0
Charter Township of Canton Precinct 33,0,0,0,0,0,0,0,0,0,0
Charter Township of Canton Precinct 34,0,0,0,0,0,0,0,0,0,0
Charter Township of Canton Precinct 35,0,0,0,0,0,0,0,0,0,0
Charter Township of Canton Precinct 36,0,0,0,0,0,0,0,0,0,0
Charter Township of Canton Precinct 37,0,0,0,0,0,0,0,0,0,0
Charter Township of Canton Precinct 38,0,0,0,0,0,0,0,0,0,0
Charter Township of Canton Precinct 39,0,0,0,0,0,0,0,0,0,0
Charter Township of Canton Precinct 40,0,0,0,0,0,0,0,0,0,0
Charter Township of Huron Precinct 1,0,0,0,0,0,0,0,0,0,0
Charter Township of Huron Precinct 2,0,0,0,0,0,0,0,0,0,0
Charter Township of Huron Precinct 3,0,0,0,0,0,0,0,0,0,0
Charter Township of Huron Precinct 4,0,0,0,0,0,0,0,0,0,0
Charter Township of Huron Precinct 5,0,0,0,0,0,0,0,0,0,0
Charter Township of Huron Precinct 6,0,0,0,0,0,0,0,0,0,0
Charter Township of Northville Precinct 1,0,0,0,0,0,0,0,0,0,0
Charter Township of Northville Precinct 2,0,0,0,0,0,0,0,0,0,0
Charter Township of Northville Precinct 3,0,0,0,0,0,0,0,0,0,0
Charter Township of Northville Precinct 4,0,0,0,0,0,0,0,0,0,0
Charter Township of Northville Precinct 5,0,0,0,0,0,0,0,0,0,0
Charter Township of Northville Precinct 6,0,0,0,0,0,0,0,0,0,0
Charter Township of Northville Precinct 7,0,0,0,0,0,0,0,0,0,0
Charter Township of Northville Precinct 8,0,0,0,0,0,0,0,0,0,0
Charter Township of Northville Precinct 9,0,0,0,0,0,0,0,0,0,0
Charter Township of Northville Precinct 10,0,0,0,0,0,0,0,0,0,0
Charter Township of Northville Precinct 11,0,0,0,0,0,0,0,0,0,0
Charter Township of Northville Precinct 12,0,0,0,0,0,0,0,0,0,0
Charter Township of Plymouth Precinct 1,0,0,0,0,0,0,0,0,0,0
Charter Township of Plymouth Precinct 2,0,0,0,0,0,0,0,0,0,0
Charter Township of Plymouth Precinct 3,0,0,0,0,0,0,0,0,0,0
Charter Township of Plymouth Precinct 4,0,0,0,0,0,0,0,0,0,0
Charter Township of Plymouth Precinct 5,0,0,0,0,0,0,0,0,0,0
Charter Township of Plymouth Precinct 6,0,0,0,0,0,0,0,0,0,0
