precinct,registered_voters,ballots_cast,turnout,gary_peters_dem,john_james_rep,valerie_l_willis,marcia_squier,doug_dern,total_write_in
Arcada Township Pecinct 1 1429,999,69.91,156,374,3,0,0,0,1
Bethany Township Pecinct 1 1096,780,71.17,94,335,4,1,1,0,0
City of Alma Precinct 1,1581,1109,70.15,270,332,2,0,4,3
City of Alma Precinct 2,2231,1339,60.02,357,428,7,1,3,8
City of Alma Precinct 3,2317,1289,55.63,331,450,8,4,7,3
City of Ithaca Precinct 1,2189,1543,70.49,293,572,3,0,1,1
City of St. Louis Precinct 1,2837,1743,61.44,338,639,10,3,2,3
Elba Township Precinct 1,933,680,72.88,95,251,1,2,4,0
Emerson Township Precinct 1,736,502,68.21,65,217,0,0,1,0
Fulton Township Precinct 1,1982,1424,71.85,243,571,7,1,2,3
Hamilton Township Precinct 1,339,231,68.14,26,85,0,1,2,0
Lafayette Township Precinct 1,445,332,74.61,34,136,1,0,1,0
New Haven Township Precinct 1,737,508,68.93,62,216,1,0,4,0
Newark Township Precinct 1,714,513,71.85,69,223,1,0,4,0
North Shade Township Precinct 1,385,301,78.18,33,143,2,0,0,0
North StarTownship Precinct 1,663,501,75.57,59,205,0,0,1,0
Pine River Township Precinct 1,1932,1376,71.22,228,606,3,2,1,1
Seville Township Precinct 1,1743,1186,68.04,154,537,6,2,6,1
Sumner Township Precinct 1,1478,999,67.59,128,431,1,0,3,0
Washington Township Precinct 1,668,507,75.9,56,231,4,1,4,1
Wheeler Township Precinct 1,1978,1392,70.37,215,564,11,3,9,1
