precinct,registered_voters,ballots_cast,turnout,gary_peters_dem,john_james_rep,valerie_l_willis,marcia_squier,doug_dern,total_write_in
Ada Township Precinct 1,1316,1095,83.21,538,542,3,3,0,0
Ada Township Precinct 2,2428,1979,81.51,918,1007,10,10,0,1
Ada Township Precinct 3,1397,1152,82.46,447,677,8,9,0,0
Ada Township Precinct 4,1168,982,84.08,345,621,3,3,0,0
Ada Township Precinct 5,2112,1765,83.57,588,1132,7,11,2,1
Ada Township Precinct 6,1031,824,79.92,369,440,2,3,0,1
Ada Township Precinct 7,1189,1016,85.45,464,538,3,5,0,0
Ada Township Precinct 8,1202,990,82.36,410,564,4,4,2,0
Algoma Township Precinct 1,1355,1096,80.89,335,726,13,6,4,0
Algoma Township Precinct 2,1648,1391,84.41,436,920,10,9,2,0
Algoma Township Precinct 3,1766,1469,83.18,437,999,9,4,2,0
Algoma Township Precinct 4,1873,1426,76.13,516,867,9,7,2,0
Algoma Township Precinct 5,2513,2113,84.08,768,1292,10,10,3,0
Alpine Township Precinct 1,1135,877,77.27,333,509,12,6,1,1
Alpine Township Precinct 2,1428,998,69.89,477,482,12,7,2,1
Alpine Township Precinct 3,2350,1856,78.98,835,942,16,21,7,1
Alpine Township Precinct 4,2388,1601,67.04,610,923,17,15,3,1
Alpine Township Precinct 5,1053,845,80.25,268,552,8,4,4,1
Alpine Township Precinct 6,2173,1056,48.6,682,320,16,17,4,1
Bowne Township Precinct 1,2578,2155,83.59,508,1591,10,10,1,3
Byron Township Precinct 1,2655,2214,83.39,572,1583,9,18,1,2
Byron Township Precinct 2,2872,2492,86.77,697,1739,12,10,4,2
Byron Township Precinct 3,3128,1561,49.9,716,789,21,15,5,1
Byron Township Precinct 4,2179,1941,89.08,387,1529,5,5,1,0
Byron Township Precinct 5,2618,2264,86.48,511,1705,9,8,1,2
Byron Township Precinct 6,1585,1333,84.1,417,893,9,2,1,0
Byron Township Precinct 7,2610,2117,81.11,683,1378,12,12,3,3
Byron Township Precinct 8,2407,2002,83.17,755,1183,18,14,1,2
Caledonia Charter Township Precinct 1,1286,994,77.29,382,585,4,8,1,0
Caledonia Charter Township Precinct 2,2250,1799,79.96,546,1207,8,10,2,1
Caledonia Charter Township Precinct 3,2227,1825,81.95,525,1255,15,13,1,1
Caledonia Charter Township Precinct 4,1440,1226,85.14,323,878,6,5,0,3
Caledonia Charter Township Precinct 5,2691,2192,81.46,667,1475,10,13,2,1
Caledonia Charter Township Precinct 6,2131,1701,79.82,610,1043,14,13,2,0
Cannon Township Precinct 1,2238,1907,85.21,652,1212,6,15,4,0
Cannon Township Precinct 2,2068,1705,82.45,544,1118,8,9,2,0
Cannon Township Precinct 3,1663,1409,84.73,521,852,7,12,2,0
Cannon Township Precinct 4,2515,2113,84.02,798,1263,15,10,4,1
Cannon Township Precinct 5,1649,1363,82.66,444,879,11,7,2,0
Cannon Township Precinct 6,2005,1650,82.29,575,1026,8,13,0,1
Cascade Charter Township Precinct 1,1502,1289,85.82,502,769,1,2,0,1
Cascade Charter Township Precinct 2,1798,1516,84.32,611,884,1,4,0,0
Cascade Charter Township Precinct 3,1229,1047,85.19,421,608,3,4,1,1
Cascade Charter Township Precinct 4,1778,1539,86.56,659,852,5,4,3,1
Cascade Charter Township Precinct 5,2468,2084,84.44,755,1289,9,9,0,0
Cascade Charter Township Precinct 6,1602,1338,83.52,665,648,5,5,1,0
Cascade Charter Township Precinct 7,1413,1074,76.01,469,580,3,4,1,0
Cascade Charter Township Precinct 8,1390,1207,86.83,602,586,2,5,0,0
Cascade Charter Township Precinct 9,1469,1263,85.98,574,658,6,10,0,1
Cascade Charter Township Precinct 10,1432,1221,85.27,432,763,3,10,0,0
Cedar Springs City Precinct 1,2551,1562,61.23,533,966,20,15,5,2
Courtland Township Precinct 1,2216,1854,83.66,686,1116,5,7,4,0
Courtland Township Precinct 2,2502,2069,82.69,619,1382,12,10,7,1
Courtland Township Precinct 3,2485,2031,81.73,645,1332,11,6,3,1
East Grand Rapids City Ward 1 Precinct 1,1603,1347,84.03,796,523,0,4,3,0
East Grand Rapids City Ward 1 Precinct 2,1548,1311,84.69,694,590,2,5,2,0
East Grand Rapids City Ward 2 Precinct 3,1625,1366,84.06,809,539,2,5,0,0
East Grand Rapids City Ward 2 Precinct 4,1448,1191,82.25,737,437,0,8,1,0
East Grand Rapids City Ward 3 Precinct 5,1566,1312,83.78,833,460,2,7,0,1
East Grand Rapids City Ward 3 Precinct 6,1609,1358,84.4,872,468,2,4,3,0
Gaines Charter Township Precinct 1,2336,1988,85.1,486,1447,10,9,1,2
Gaines Charter Township Precinct 2,1777,1423,80.08,599,785,9,6,1,1
Gaines Charter Township Precinct 3,2317,1604,69.23,555,1002,17,8,4,2
Gaines Charter Township Precinct 4,3272,1642,50.18,790,753,37,25,2,5
Gaines Charter Township Precinct 5,2159,1318,61.05,747,515,17,14,5,4
Gaines Charter Township Precinct 6,2085,1689,81.01,535,1122,9,9,1,1
Gaines Charter Township Precinct 7,2822,2345,83.1,770,1522,10,16,1,1
Gaines Charter Township Precinct 8,2548,1910,74.96,723,1118,15,20,5,2
Gaines Charter Township Precinct 9,1927,1452,75.35,752,666,8,6,1,3
Grand Rapids Charter Township Precinct 1,1706,1380,80.89,586,760,3,14,2,0
Grand Rapids Charter Township Precinct 2,1103,911,82.59,446,449,3,3,0,0
Grand Rapids Charter Township Precinct 3,1904,1585,83.25,794,760,5,7,0,0
Grand Rapids Charter Township Precinct 4,2026,1701,83.96,827,834,3,9,3,1
Grand Rapids Charter Township Precinct,5,2017,1654,82,804,804,3,12,1
Grand Rapids Charter Township Precinct 6,1835,1522,82.94,684,783,12,17,3,1
Grand Rapids Charter Township Precinct 7,1087,802,73.78,377,411,1,4,1,1
Grand Rapids Charter Township Precinct 8,1996,1652,82.77,775,852,4,6,0,1
Grand Rapids Charter Township Precinct 9,1257,1079,85.84,446,616,6,3,1,1
Grand Rapids City Ward 1 Precinct 1,2746,1555,56.63,1038,447,21,29,2,1
Grand Rapids City Ward 1 Precinct 2,1467,749,51.06,500,201,24,12,1,3
Grand Rapids City Ward 1 Precinct 3,2115,1591,75.22,1106,448,9,12,1,1
Grand Rapids City Ward 1 Precinct 4,1902,1403,73.76,1028,339,6,18,1,2
Grand Rapids City Ward 1 Precinct 5,1465,885,60.41,587,254,10,21,0,0
Grand Rapids City Ward 1 Precinct 6,2288,1822,79.63,927,846,6,15,3,0
Grand Rapids City Ward 1 Precinct 8,1319,1084,82.18,629,426,7,12,1,1
Grand Rapids City Ward 1 Precinct 9,3094,1273,41.14,855,355,18,19,4,4
Grand Rapids City Ward 1 Precinct 10,1821,1310,71.94,786,470,14,12,5,2
Grand Rapids City Ward 1 Precinct 11,1772,1459,82.34,707,710,11,13,4,0
Grand Rapids City Ward 1 Precinct 12,2224,1162,52.25,783,314,20,17,3,3
Grand Rapids City Ward 1 Precinct 13,2455,1359,55.36,856,420,22,36,2,2
Grand Rapids City Ward 1 Precinct 14,2301,1625,70.62,960,588,22,29,4,2
Grand Rapids City Ward 1 Precinct 15,2315,934,40.35,722,159,15,17,4,2
Grand Rapids City Ward 1 Precinct 16,2456,1110,45.2,873,178,16,11,6,3
Grand Rapids City Ward 1 Precinct 17,2537,1561,61.53,917,551,22,17,11,4
Grand Rapids City Ward 1 Precinct 18,1323,605,45.73,495,68,14,4,4,2
Grand Rapids City Ward 1 Precinct 19,2393,1365,57.04,841,442,21,36,3,2
Grand Rapids City Ward 1 Precinct 20,2277,1955,85.86,929,966,12,13,3,1
Grand Rapids City Ward 1 Precinct 21,1964,1654,84.22,704,908,13,18,0,1
Grand Rapids City Ward 1 Precinct 22,819,362,44.2,279,59,10,6,1,0
Grand Rapids City Ward 1 Precinct 23,1903,1584,83.24,742,796,17,8,2,0
Grand Rapids City Ward 1 Precinct 24,1998,703,35.19,594,73,8,11,7,0
Grand Rapids City Ward 2 Precinct 25,1398,975,69.74,743,182,13,16,5,1
Grand Rapids City Ward 2 Precinct 26,1783,1226,68.76,786,396,8,12,5,0
Grand Rapids City Ward 2 Precinct 27,1400,967,69.07,643,287,13,12,3,0
Grand Rapids City Ward 2 Precinct 28,2172,1464,67.4,979,432,17,19,3,1
Grand Rapids City Ward 2 Precinct 29,2107,1113,52.82,782,278,11,28,4,1
Grand Rapids City Ward 2 Precinct 30,1757,1434,81.62,977,420,1,18,3,1
Grand Rapids City Ward 2 Precinct 31,2472,1535,62.1,1017,424,29,34,6,4
Grand Rapids City Ward 2 Precinct 32,1632,1038,63.6,706,298,3,8,2,2
Grand Rapids City Ward 2 Precinct 33,1000,767,76.7,583,161,5,9,1,1
Grand Rapids City Ward 2 Precinct 34,2280,1568,68.77,997,507,13,21,5,2
Grand Rapids City Ward 2 Precinct 35,2006,1590,79.26,899,645,11,11,3,2
Grand Rapids City Ward 2 Precinct 36,1170,781,66.75,490,252,12,8,6,0
Grand Rapids City Ward 2 Precinct 37,2590,2035,78.57,1199,767,15,20,9,2
Grand Rapids City Ward 2 Precinct 38,3147,1982,62.98,1344,565,9,26,6,2
Grand Rapids City Ward 2 Precinct 39,1103,701,63.55,549,117,5,17,3,0
Grand Rapids City Ward 2 Precinct,40,2011,1468,73,1138,273,6,24,3
Grand Rapids City Ward 2 Precinct 41,2583,1916,74.18,1018,823,20,22,5,2
Grand Rapids City Ward 2 Precinct 42,2015,1609,79.85,999,556,13,15,3,1
Grand Rapids City Ward 2 Precinct 43,1919,1476,76.92,842,594,15,8,1,1
Grand Rapids City Ward 2 Precinct 44,2019,1555,77.02,831,683,11,12,3,0
Grand Rapids City Ward 2 Precinct 45,2230,1763,79.06,900,818,7,12,4,1
Grand Rapids City Ward 2 Precinct 46,2456,1651,67.22,932,659,15,12,6,9
Grand Rapids City Ward 2 Precinct 47,1847,1519,82.24,897,590,8,7,1,0
Grand Rapids City Ward 2 Precinct 48,1698,1169,68.85,867,264,9,15,0,2
Grand Rapids City Ward 2 Precinct 49,2224,1441,64.79,1109,286,4,20,4,1
Grand Rapids City Ward 2 Precinct 50,2528,1718,67.96,1399,267,10,29,1,0
Grand Rapids City Ward 3 Precinct 51,1978,1224,61.88,807,362,20,11,3,3
Grand Rapids City Ward 3 Precinct 52,992,620,62.5,526,78,2,10,2,0
