TOTALS: 85 of 85	Registered voters	Ballots Cast	Turnout	Joseph R. Biden	Donald J. Trump	Jo Jorgensen	Don Blankenship	Howie Hawkins	Rocky De La Fuente	Total write-in
TOTAL	156,856	104,013	66.31%	51,088	50,785	1,007	160	231	76	136
Albee Township Precinct 1	1,662	1,121	67.45%	393	707	13	0	1	1	0
Birch Run Township Precinct 1	2,077	1,509	72.65%	537	942	17	3	2	1	2
Birch Run Township Precinct 2	1,240	834	67.26%	359	461	5	1	6	0	0
Birch Run Township Precinct 3	1,557	1,296	83.24%	347	918	24	1	3	0	2
Blumfield Township Precinct 1	1,593	1,318	82.74%	282	1,013	10	0	3	0	2
Brady Township Precinct 1	1,681	1,173	69.78%	379	767	15	1	6	1	0
Brant Township Precinct 1	1,540	1,093	70.97%	310	766	9	2	1	0	3
Bridgeport Township Precinct 1	950	600	63.16%	292	293	5	0	3	2	0
Bridgeport Township Precinct 2	2,068	1,045	50.53%	621	410	8	1	0	1	1
Bridgeport Township Precinct 3	1,909	1,375	72.03%	460	873	22	6	2	1	1
Bridgeport Township Precinct 4	2,485	1,536	61.81%	1,195	320	7	0	3	0	1
Bridgeport Township Precinct 5	1,298	937	72.19%	355	560	6	0	3	0	0
Buena Vista Charter Township Precinct 1	1,177	679	57.69%	297	364	10	2	2	0	1
Buena Vista Charter Township Precinct 2	1,493	764	51.17%	702	55	0	0	1	1	1
Buena Vista Charter Township Precinct 3	1,631	675	41.39%	633	32	3	1	1	1	0
Buena Vista Charter Township Precinct 4	1,606	600	37.36%	517	76	2	1	1	1	0
Buena Vista Charter Township Precinct 5	1,797	990	55.09%	812	170	4	0	0	0	2
Carrollton Township Precinct 1	1,865	1,216	65.2%	688	502	14	5	5	0	1
Carrollton Township Precinct 2	2,829	1,717	60.69%	944	736	22	3	3	2	2
Chapin Township Precinct 1	750	485	64.67%	127	352	3	1	0	1	0
Chesaning Township Precinct 1	1,826	1,200	65.72%	613	554	21	1	0	2	1
Chesaning Township Precinct 2	1,902	1,402	73.71%	547	827	12	1	6	0	0
City of Frankenmuth Precinct 1	2,268	1,888	83.25%	620	1,221	16	2	7	3	7
City of Frankenmuth Precinct 2	1,838	1,477	80.36%	463	987	15	2	1	1	1
City of Saginaw Precinct 1	2,588	1,226	47.37%	1,181	32	3	0	2	0	0
City of Saginaw Precinct 2	1,484	652	43.94%	602	36	3	1	2	1	0
City of Saginaw Precinct 3	2,608	1,024	39.26%	949	62	5	2	1	1	2
City of Saginaw Precinct 4	1,873	804	42.93%	715	78	2	1	2	1	1
City of Saginaw Precinct 5	1,587	616	38.82%	565	37	1	1	5	2	0
City of Saginaw Precinct 6	2,077	961	46.27%	900	50	1	1	1	1	2
City of Saginaw Precinct 7	2,283	1,135	49.72%	1,043	75	4	2	2	1	1
City of Saginaw Precinct 8	1,930	853	44.2%	804	38	4	1	3	1	1
City of Saginaw Precinct 9	2,108	1,009	47.87%	679	316	4	2	2	2	2
City of Saginaw Precinct 10	2,625	1,384	52.72%	837	514	11	2	3	0	4
City of Saginaw Precinct 11	2,758	1,338	48.51%	872	436	6	4	2	5	6
City of Saginaw Precinct 12	2,842	1,189	41.84%	832	316	25	4	4	1	0
City of Saginaw Precinct 13	2,367	1,325	55.98%	887	411	13	2	4	2	1
City of Saginaw Precinct 14	2,785	1,825	65.53%	1,174	615	17	3	2	0	4
City of Saginaw Precinct 15	2,996	1,507	50.3%	1,016	458	15	4	9	2	0
City of Saginaw Precinct 16	2,897	1,863	64.31%	1,151	676	15	2	6	2	3
City of Zilwaukee Precinct 1	1,320	930	70.45%	397	511	15	2	0	0	2
