precinct,registered_voters,ballots_cast,turnout,joseph_r_bidenkamala_d_harris,donald_j_trumpmichael_r_pence,jo_jorgensenjeremy_cohen,don_blankenshipwilliam_mohr,howie_hawkinsangela_walker,rocky_de_la_fuentedarcy_richardson,total_write_in
Albee Township Precinct 1,1662,1121,67.45,393,707,13,0,1,1,0
Birch Run Township Precinct 1,2077,1509,72.65,537,942,17,3,2,1,2
Birch Run Township Precinct 2,1240,834,67.26,359,461,5,1,6,0,0
Birch Run Township Precinct 3,1557,1296,83.24,347,918,24,1,3,0,2
Blumfield Township Precinct 1,1593,1318,82.74,282,1013,10,0,3,0,2
Brady Township Precinct 1,1681,1173,69.78,379,767,15,1,6,1,0
Brant Township Precinct 1,1540,1093,70.97,310,766,9,2,1,0,3
Bridgeport Township Precinct 1,950,600,63.16,292,293,5,0,3,2,0
Bridgeport Township Precinct 2,2068,1045,50.53,621,410,8,1,0,1,1
Bridgeport Township Precinct 3,1909,1375,72.03,460,873,22,6,2,1,1
Bridgeport Township Precinct 4,2485,1536,61.81,1195,320,7,0,3,0,1
Bridgeport Township Precinct 5,1298,937,72.19,355,560,6,0,3,0,0
Buena Vista Charter Township Precinct 1,1177,679,57.69,297,364,10,2,2,0,1
Buena Vista Charter Township Precinct 2,1493,764,51.17,702,55,0,0,1,1,1
Buena Vista Charter Township Precinct 3,1631,675,41.39,633,32,3,1,1,1,0
Buena Vista Charter Township Precinct 4,1606,600,37.36,517,76,2,1,1,1,0
Buena Vista Charter Township Precinct 5,1797,990,55.09,812,170,4,0,0,0,2
Carrollton Township Precinct 1,1865,1216,65.2,688,502,14,5,5,0,1
Carrollton Township Precinct 2,2829,1717,60.69,944,736,22,3,3,2,2
Chapin Township Precinct 1,750,485,64.67,127,352,3,1,0,1,0
Chesaning Township Precinct 1,1826,1200,65.72,613,554,21,1,0,2,1
Chesaning Township Precinct 2,1902,1402,73.71,547,827,12,1,6,0,0
City of Frankenmuth Precinct 1,2268,1888,83.25,620,1221,16,2,7,3,7
City of Frankenmuth Precinct 2,1838,1477,80.36,463,987,15,2,1,1,1
City of Saginaw Precinct 1,2588,1226,47.37,1181,32,3,0,2,0,0
City of Saginaw Precinct 2,1484,652,43.94,602,36,3,1,2,1,0
City of Saginaw Precinct 3,2608,1024,39.26,949,62,5,2,1,1,2
City of Saginaw Precinct 4,1873,804,42.93,715,78,2,1,2,1,1
City of Saginaw Precinct 5,1587,616,38.82,565,37,1,1,5,2,0
City of Saginaw Precinct 6,2077,961,46.27,900,50,1,1,1,1,2
City of Saginaw Precinct 7,2283,1135,49.72,1043,75,4,2,2,1,1
City of Saginaw Precinct 8,1930,853,44.2,804,38,4,1,3,1,1
City of Saginaw Precinct 9,2108,1009,47.87,679,316,4,2,2,2,2
City of Saginaw Precinct 10,2625,1384,52.72,837,514,11,2,3,0,4
City of Saginaw Precinct 11,2758,1338,48.51,872,436,6,4,2,5,6
City of Saginaw Precinct 12,2842,1189,41.84,832,316,25,4,4,1,0
City of Saginaw Precinct 13,2367,1325,55.98,887,411,13,2,4,2,1
City of Saginaw Precinct 14,2785,1825,65.53,1174,615,17,3,2,0,4
City of Saginaw Precinct 15,2996,1507,50.3,1016,458,15,4,9,2,0
City of Saginaw Precinct 16,2897,1863,64.31,1151,676,15,2,6,2,3
City of Zilwaukee Precinct 1,1320,930,70.45,397,511,15,2,0,0,2
Frankenmuth Township Precinct 1,1571,1327,84.47,358,941,13,0,2,1,1
Fremont Township Precinct 1,1709,1307,76.48,380,907,9,4,3,1,0
James Township Precinct 1,1607,1224,76.17,401,801,12,3,1,0,2
Jonesfield Township Precinct 1,1323,984,74.38,313,642,13,5,3,2,0
Kochville Township Precinct 1,1967,1394,70.87,556,798,20,1,6,0,2
Lakefield Township Precinct 1,763,593,77.72,171,415,5,0,1,0,0
Maple Grove Township Precinct 1,2148,1690,78.68,599,1054,16,4,5,1,4
Marion Township Precinct 1,610,446,73.11,107,329,4,1,3,1,0
Richland Township Precinct 1,1769,1338,75.64,398,910,18,3,1,0,1
Richland Township Precinct 2,1648,1294,78.52,393,874,15,3,1,1,1
Saginaw Township Precinct 1,2268,1401,61.77,858,514,18,3,1,1,4
Saginaw Township Precinct 2,1635,1295,79.2,629,639,10,1,2,3,0
Saginaw Township Precinct 3,1654,1292,78.11,673,586,21,1,2,0,3
Saginaw Township Precinct 4,1333,1037,77.79,466,541,17,2,7,0,0
Saginaw Township Precinct 5,2579,1889,73.25,955,888,21,4,8,2,7
Saginaw Township Precinct 6,2454,1829,74.53,931,851,24,3,2,1,3
Saginaw Township Precinct 7,2738,2003,73.16,1082,882,14,2,7,2,2
Saginaw Township Precinct 8,1414,1113,78.71,552,542,6,2,4,0,1
Saginaw Township Precinct 9,2064,1609,77.96,785,791,8,2,1,2,5
Saginaw Township Precinct 10,2610,1850,70.88,962,852,11,2,6,2,2
Saginaw Township Precinct 11,2538,1631,64.26,999,585,20,4,10,1,1
Saginaw Township Precinct 12,1981,1563,78.9,756,773,18,2,2,0,0
Saginaw Township Precinct 13,2778,2004,72.14,1113,841,30,3,2,0,3
Saginaw Township Precinct 14,2482,1875,75.54,891,947,16,2,3,0,5
Saginaw Township Precinct 15,984,813,82.62,383,422,4,0,0,0,0
Saginaw Township Precinct 16,2774,2154,77.65,964,1146,25,1,3,3,4
Spaulding Township Precinct 1,1772,1107,62.47,530,555,9,3,6,0,0
St. Charles Township Precinct 1,1139,794,69.71,225,552,12,0,1,1,2
