precinct,registered_voters,ballots_cast_turnout,gary_peters_dem,john_james_rep,valerie_l_willis,marcia_squier,doug_dern,total_write_in
Albee Township Precinct 1,1662,1121,67.45,440,629,15,3,5
Birch Run Township Precinct 1,2077,1509,72.65,583,875,15,7,5
Birch Run Township Precinct 2,1240,834,67.26,385,416,6,3,2
Birch Run Township Precinct 3,1557,1296,83.24,356,904,13,5,1
Blumfield Township Precinct 1,1593,1318,82.74,299,983,8,3,0
Brady Township Precinct 1,1681,1173,69.78,412,719,11,5,3
Brant Township Precinct 1,1540,1093,70.97,340,726,10,0,1
Bridgeport Township Precinct 1,950,600,63.16,309,266,5,2,3
Bridgeport Township Precinct 2,2068,1045,50.53,629,380,15,3,5
Bridgeport Township Precinct 3,1909,1375,72.03,500,822,12,6,3
Bridgeport Township Precinct 4,2485,1536,61.81,1186,309,15,10,2
Bridgeport Township Precinct 5,1298,937,72.19,362,537,9,3,6
Buena Vista Charter Township Precinct 1,1177,679,57.69,300,353,7,7,0
Buena Vista Charter Township Precinct 2,1493,764,51.17,695,55,5,4,2
Buena Vista Charter Township Precinct 3,1631,675,41.39,626,29,4,4,2
Buena Vista Charter Township Precinct 4,1606,600,37.36,514,69,8,0,3
Buena Vista Charter Township Precinct 5,1797,990,55.09,811,166,7,1,0
Carrollton Township Precinct 1,1865,1216,65.2,716,461,15,6,2
Carrollton Township Precinct 2,2829,1717,60.69,955,687,29,18,1
Chapin Township Precinct 1,750,485,64.67,138,321,8,2,6
Chesaning Township Precinct 1,1826,1200,65.72,604,545,8,13,4
Chesaning Township Precinct 2,1902,1402,73.71,563,783,17,8,5
City of Frankenmuth Precinct 1,2268,1888,83.25,603,1251,6,10,1
City of Frankenmuth Precinct 2,1838,1477,80.36,415,1014,9,6,2
City of Saginaw Precinct 1,2588,1226,47.37,1162,29,11,8,2
City of Saginaw Precinct 2,1484,652,43.94,593,37,5,7,2
City of Saginaw Precinct 3,2608,1024,39.26,927,70,7,8,4
City of Saginaw Precinct 4,1873,804,42.93,705,73,8,2,1
City of Saginaw Precinct 5,1587,616,38.82,553,32,12,7,3
City of Saginaw Precinct 6,2077,961,46.27,886,45,9,7,2
City of Saginaw Precinct 7,2283,1135,49.72,1033,69,11,5,3
City of Saginaw Precinct 8,1930,853,44.2,790,33,8,6,4
City of Saginaw Precinct 9,2108,1009,47.87,696,274,17,6,4
City of Saginaw Precinct 10,2625,1384,52.72,857,478,15,9,2
City of Saginaw Precinct 11,2758,1338,48.51,860,425,24,8,2
City of Saginaw Precinct 12,2842,1189,41.84,834,293,23,13,3
City of Saginaw Precinct 13,2367,1325,55.98,892,389,16,12,1
City of Saginaw Precinct 14,2785,1825,65.53,1159,605,21,9,3
City of Saginaw Precinct 15,2996,1507,50.3,1007,435,14,21,3
City of Saginaw Precinct 16,2897,1863,64.31,1148,655,15,9,4
City of Zilwaukee Precinct 1,1320,930,70.45,406,487,8,3,2
Frankenmuth Township Precinct 1,1571,1327,84.47,355,946,2,7,3
Fremont Township Precinct 1,1709,1307,76.48,417,859,9,7,0
James Township Precinct 1,1607,1224,76.17,445,736,7,1,3
Jonesfield Township Precinct 1,1323,984,74.38,328,623,11,5,4
Kochville Township Precinct 1,1967,1394,70.87,565,782,14,9,3
Lakefield Township Precinct 1,763,593,77.72,183,395,3,2,2
Maple Grove Township Precinct 1,2148,1690,78.68,648,985,12,5,2
Marion Township Precinct 1,610,446,73.11,116,308,7,3,3
Richland Township Precinct 1,1769,1338,75.64,424,883,10,3,1
Richland Township Precinct 2,1648,1294,78.52,391,853,18,3,2
Saginaw Township Precinct 1,2268,1401,61.77,856,508,12,5,1
Saginaw Township Precinct 2,1635,1295,79.2,612,654,7,4,1
Saginaw Township Precinct 3,1654,1292,78.11,666,589,6,8,2
Saginaw Township Precinct 4,1333,1037,77.79,471,540,2,12,0
Saginaw Township Precinct 5,2579,1889,73.25,935,897,16,12,2
Saginaw Township Precinct 6,2454,1829,74.53,920,857,17,5,0
Saginaw Township Precinct 7,2738,2003,73.16,1055,895,14,6,1
Saginaw Township Precinct 8,1414,1113,78.71,571,512,7,5,0
Saginaw Township Precinct 9,2064,1609,77.96,777,797,5,7,4
Saginaw Township Precinct 10,2610,1850,70.88,962,845,8,11,3
Saginaw Township Precinct 11,2538,1631,64.26,1003,567,11,11,6
Saginaw Township Precinct 12,1981,1563,78.9,747,774,7,5,4
Saginaw Township Precinct 13,2778,2004,72.14,1099,834,15,12,2
Saginaw Township Precinct 14,2482,1875,75.54,870,963,9,7,1
Saginaw Township Precinct 15,984,813,82.62,362,431,7,2,0
Saginaw Township Precinct 16,2774,2154,77.65,961,1133,9,9,7
Spaulding Township Precinct 1,1772,1107,62.47,553,526,9,6,1
St. Charles Township Precinct 1,1139,794,69.71,256,509,8,3,3
St. Charles Township Precinct 2,1438,911,63.35,345,524,12,9,3
Swan Creek Township Precinct 1,2038,1600,78.51,490,1049,12,12,6
Taymouth Township Precinct 1,1404,1015,72.29,396,585,12,4,1
Taymouth Township Precinct 2,2021,1517,75.06,598,855,13,9,4
Thomas Township Precinct 1,1389,1111,79.99,362,732,3,0,3
Thomas Township Precinct 2,1639,1221,74.5,507,676,7,4,2
Thomas Township Precinct 3,1872,1372,73.29,499,832,11,6,5
Thomas Township Precinct 4,1180,945,80.08,290,629,6,1,2
Thomas Township Precinct 5,1470,1094,74.42,454,607,7,4,1
Thomas Township Precinct 6,1375,995,72.36,387,592,5,5,1
Thomas Township Precinct 7,1319,1070,81.12,385,637,6,7,3
Tittabawassee Township Precinct 1,2212,1741,78.71,628,1046,8,7,4
Tittabawassee Township Precinct 2,1753,1425,81.29,481,915,6,3,2
Tittabawassee Township Precinct 3,1298,996,76.73,321,643,3,5,2
Tittabawassee Township Precinct 4,1912,1530,80.02,566,930,4,5,1
Zilwaukee Township Precinct 1,54,43,79.63,14,27,2,0,0
