TOTALS: 85 of 85	Registered voters	Ballots Cast	Turnout	Democratic Party	Republican Party	Libertarian Party	U.S. Taxpayers Party	Working Class Party	Green Party	Natural Law Party
TOTAL	156,856	104,013	66.31%	32,307	25,795	335	107	315	101	71
Albee Township Precinct 1	1,662	1,121	67.45%	239	330	4	1	5	0	0
Birch Run Township Precinct 1	2,077	1,509	72.65%	296	474	4	4	4	0	0
Birch Run Township Precinct 2	1,240	834	67.26%	196	237	3	0	1	1	0
Birch Run Township Precinct 3	1,557	1,296	83.24%	152	474	3	1	1	2	1
Blumfield Township Precinct 1	1,593	1,318	82.74%	131	568	2	0	2	2	1
Brady Township Precinct 1	1,681	1,173	69.78%	210	433	3	2	6	1	0
Brant Township Precinct 1	1,540	1,093	70.97%	140	440	2	3	1	1	0
Bridgeport Township Precinct 1	950	600	63.16%	198	152	3	0	1	1	0
Bridgeport Township Precinct 2	2,068	1,045	50.53%	482	245	3	4	8	1	3
Bridgeport Township Precinct 3	1,909	1,375	72.03%	269	438	8	2	2	0	1
Bridgeport Township Precinct 4	2,485	1,536	61.81%	951	182	3	1	9	1	2
Bridgeport Township Precinct 5	1,298	937	72.19%	196	269	4	1	6	1	1
Buena Vista Charter Township Precinct 1	1,177	679	57.69%	177	201	3	1	4	1	0
Buena Vista Charter Township Precinct 2	1,493	764	51.17%	610	37	2	0	2	1	1
Buena Vista Charter Township Precinct 3	1,631	675	41.39%	583	17	1	0	1	0	2
Buena Vista Charter Township Precinct 4	1,606	600	37.36%	445	62	1	3	7	0	0
Buena Vista Charter Township Precinct 5	1,797	990	55.09%	676	111	2	0	2	0	0
Carrollton Township Precinct 1	1,865	1,216	65.2%	433	264	5	1	4	3	0
Carrollton Township Precinct 2	2,829	1,717	60.69%	562	373	10	2	12	2	3
Chapin Township Precinct 1	750	485	64.67%	61	210	1	1	2	0	0
Chesaning Township Precinct 1	1,826	1,200	65.72%	291	284	2	0	7	3	2
Chesaning Township Precinct 2	1,902	1,402	73.71%	260	431	4	0	3	1	0
City of Frankenmuth Precinct 1	2,268	1,888	83.25%	291	712	5	0	2	4	1
City of Frankenmuth Precinct 2	1,838	1,477	80.36%	206	563	1	0	1	2	1
City of Saginaw Precinct 1	2,588	1,226	47.37%	1,055	17	4	1	5	1	0
City of Saginaw Precinct 2	1,484	652	43.94%	532	24	2	2	4	2	1
City of Saginaw Precinct 3	2,608	1,024	39.26%	820	40	3	2	5	0	1
City of Saginaw Precinct 4	1,873	804	42.93%	638	56	2	2	5	0	1
City of Saginaw Precinct 5	1,587	616	38.82%	496	26	2	1	6	1	3
City of Saginaw Precinct 6	2,077	961	46.27%	790	36	3	2	4	1	0
City of Saginaw Precinct 7	2,283	1,135	49.72%	923	48	3	2	3	3	2
City of Saginaw Precinct 8	1,930	853	44.2%	713	26	2	3	2	0	0
City of Saginaw Precinct 9	2,108	1,009	47.87%	533	177	0	0	2	2	4
City of Saginaw Precinct 10	2,625	1,384	52.72%	590	299	2	4	5	3	1
City of Saginaw Precinct 11	2,758	1,338	48.51%	619	246	2	6	15	0	2
City of Saginaw Precinct 12	2,842	1,189	41.84%	638	185	12	1	7	1	2
City of Saginaw Precinct 13	2,367	1,325	55.98%	635	184	4	2	5	4	1
City of Saginaw Precinct 14	2,785	1,825	65.53%	792	295	5	1	4	1	2
City of Saginaw Precinct 15	2,996	1,507	50.3%	757	251	5	6	6	4	1
City of Saginaw Precinct 16	2,897	1,863	64.31%	725	343	3	1	7	3	2
City of Zilwaukee Precinct 1	1,320	930	70.45%	207	250	7	0	5	0	2
Frankenmuth Township Precinct 1	1,571	1,327	84.47%	129	494	3	0	4	1	0
Fremont Township Precinct 1	1,709	1,307	76.48%	181	464	1	1	4	1	0
James Township Precinct 1	1,607	1,224	76.17%	191	317	4	0	5	1	1
Jonesfield Township Precinct 1	1,323	984	74.38%	142	318	2	2	1	1	0
