TOTALS: 65 of 65	Registered voters	Ballots Cast	Turnout	Joseph R. Biden/Kamala D. Harris	Donald J. Trump/Michael R. Pence	Jo Jorgensen/Jeremy Cohen	Don Blankenship/William Mohr	Howie Hawkins/Angela Walker	Rocky De La Fuente/Darcy Richardson	Total write-in
TOTAL	134,248	92,595	68.97%	31,363	59,186	1,109	134	213	59	139
Algonac City Precinct 1	1,538	1,134	73.73%	350	764	9	1	2	1	0
Algonac City Precinct 2	1,996	1,345	67.38%	386	916	24	3	4	1	2
Berlin Township Precinct 1	2,521	1,996	79.17%	437	1,523	21	2	6	0	1
Brockway Township Precinct 1	1,611	1,187	73.68%	255	919	4	1	1	1	3
Burtchville Township Precinct 2	1,606	1,192	74.22%	420	755	7	1	2	1	3
Burtchville Township Precinct 3	1,928	1,234	64%	516	680	23	0	4	1	3
Casco Township Precinct 1	1,656	1,027	62.02%	275	732	10	2	4	2	0
Casco Township Precinct 2	1,659	1,315	79.26%	348	937	13	3	4	0	2
China Township Precinct 1	1,667	1,268	76.06%	395	843	12	2	4	0	3
China Township Precinct 2	1,326	953	71.87%	247	691	11	0	1	0	1
Clay Township Precinct 1	2,488	1,712	68.81%	424	1,261	16	2	1	0	2
Clay Township Precinct 3	2,003	1,582	78.98%	396	1,171	9	0	1	0	0
Clay Township Precinct 4	1,049	850	81.03%	245	591	9	0	0	0	1
Clay Township Precinct 5	2,386	1,748	73.26%	453	1,270	11	3	2	1	1
Clyde Township Precinct 1	2,918	2,222	76.15%	732	1,446	20	6	3	1	5
Clyde Township Precinct 2	1,778	1,257	70.7%	366	873	10	0	2	0	3
Columbus Township Precinct 1	1,998	1,574	78.78%	322	1,220	21	0	2	0	4
Columbus Township Precinct 3	1,353	990	73.17%	265	702	18	1	0	0	2
Cottrellville Township Precinct 1	2,929	2,169	74.05%	580	1,545	26	2	5	0	1
East China Township Precinct 1	3,276	2,495	76.16%	830	1,604	27	3	8	2	3
Emmett Township Precinct 1	2,036	1,585	77.85%	408	1,145	17	2	1	0	3
Fort Gratiot Township Precinct 1	2,665	1,851	69.46%	852	960	16	5	1	3	4
Fort Gratiot Township Precinct 2	2,304	1,619	70.27%	609	968	19	4	4	3	4
Fort Gratiot Township Precinct 3	1,798	1,285	71.47%	521	741	9	3	2	0	3
Fort Gratiot Township Precinct 4	3,081	2,235	72.54%	871	1,308	35	4	8	0	1
Grant Township Precinct 1	1,553	1,168	75.21%	320	829	9	0	1	2	1
Greenwood Township Precinct 1	1,195	892	74.64%	243	629	12	1	2	1	0
Ira Township Precinct 1	2,052	1,370	66.76%	429	904	18	2	7	2	1
Ira Township Precinct 2	2,009	1,573	78.3%	337	1,202	17	3	4	1	3
Kenockee Township Precinct 1	2,021	1,458	72.14%	375	1,065	15	1	1	0	0
Kimball Township Precinct 1	2,202	1,390	63.12%	451	906	25	0	2	2	1
Kimball Township Precinct 2	2,904	1,872	64.46%	609	1,217	26	5	1	1	4
Kimball Township Precinct 3	3,066	2,065	67.35%	598	1,421	29	3	3	0	2
Lynn Township Precinct 1	978	735	75.15%	179	544	9	1	0	0	0
Marine City Precinct 1	1,631	1,118	68.55%	441	641	19	3	4	1	4
Marine City Precinct 2	1,913	1,187	62.05%	411	752	7	4	0	2	2
Marysville City Precinct 1	2,547	1,754	68.87%	659	1,053	26	2	3	0	3
Marysville City Precinct 2	1,972	1,372	69.57%	570	755	21	3	7	1	7
Marysville City Precinct 3	1,802	1,334	74.03%	468	837	16	1	2	1	3
Marysville City Precinct 4	2,313	1,685	72.85%	684	970	19	0	1	0	0
Memphis City Precinct 2	265	201	75.85%	69	124	7	0	0	0	0
Mussey Township Precinct 1	3,287	2,234	67.96%	620	1,583	18	5	4	1	0
Port Huron City Precinct 1	2,142	1,477	68.95%	752	696	12	2	4	0	1
Port Huron City Precinct 2	1,973	1,449	73.44%	700	710	11	5	10	3	4
Port Huron City Precinct 3	2,182	1,550	71.04%	691	825	23	3	3	1	1
Port Huron City Precinct 4	2,375	1,269	53.43%	569	654	27	5	6	0	3
Port Huron City Precinct 5	2,186	1,055	48.26%	528	501	12	2	5	4	3
Port Huron City Precinct 6	2,441	1,292	52.93%	601	654	19	3	2	4	3
Port Huron City Precinct 7	2,459	937	38.1%	493	401	18	4	11	2	5
Port Huron City Precinct 8	2,672	1,377	51.53%	679	656	23	0	7	3	6
Port Huron City Precinct 9	2,374	1,306	55.01%	652	626	17	1	3	2	2
Port Huron City Precinct 10	2,375	1,168	49.18%	692	442	16	4	8	2	0
Port Huron Township Precinct 1	2,244	1,567	69.83%	578	963	10	3	4	0	0
Port Huron Township Precinct 2	2,085	1,534	73.57%	561	937	20	2	4	0	3
Port Huron Township Precinct 3	2,002	1,172	58.54%	455	695	11	1	1	0	2
Port Huron Township Precinct 4	2,215	1,094	49.39%	464	598	23	1	3	1	1
Richmond City Precinct 1	3	1	33.33%	0	1	0	0	0	0	0
Riley Township Precinct 1	2,668	2,082	78.04%	450	1,597	23	1	4	0	2
St. Clair City Precinct 1	1,510	1,175	77.81%	431	707	19	2	4	1	4
St. Clair City Precinct 2	1,579	1,190	75.36%	464	699	15	3	1	0	2
St. Clair City Precinct 3	1,501	1,087	72.42%	409	651	16	2	3	0	1
St. Clair Township Precinct 1	3,075	2,472	80.39%	814	1,615	26	1	6	0	1
St. Clair Township Precinct 2	2,839	2,158	76.01%	593	1,519	26	1	1	0	4
Wales Township Precinct 1	2,666	2,019	75.73%	529	1,429	33	4	8	2	4
Yale City Precinct 1	1,402	931	66.41%	292	613	19	0	1   2   1
 
