precinct,registered_voters,ballots_cast,turnout,gary_peters_dem,john_james_rep,valerie_l_willis,marcia_squier,doug_dern,total_write_in
Algonac City Precinct 1,1538,1134,73.73,368,722,13,5,3,0
Algonac City Precinct 2,1996,1345,67.38,406,871,14,10,7,5
Berlin Township Precinct 1,2521,1996,79.17,460,1478,12,9,4,1
Brockway Township Precinct 1,1611,1187,73.68,280,863,14,6,7,0
Burtchville Township Precinct 2,1606,1192,74.22,398,744,15,7,6,3
Burtchville Township Precinct,3,1928,1234,64,518,655,21,10,2
Casco Township Precinct 1,1656,1027,62.02,300,681,11,10,5,0
Casco Township Precinct 2,1659,1315,79.26,383,873,17,5,2,3
China Township Precinct 1,1667,1268,76.06,400,812,9,6,1,3
China Township Precinct 2,1326,953,71.87,258,643,11,7,1,2
Clay Township Precinct 1,2488,1712,68.81,460,1171,18,10,9,4
Clay Township Precinct 3,2003,1582,78.98,428,1095,16,6,6,0
Clay Township Precinct 4,1049,850,81.03,267,557,3,6,4,0
Clay Township Precinct 5,2386,1748,73.26,466,1215,17,10,6,2
Clyde Township Precinct 1,2918,2222,76.15,735,1406,26,10,6,2
Clyde Township Precinct 2,1778,1257,70.7,392,814,21,7,6,1
Columbus Township Precinct 1,1998,1574,78.78,357,1156,13,5,4,4
Columbus Township Precinct 3,1353,990,73.17,264,675,18,7,2,0
Cottrellville Township Precinct 1,2929,2169,74.05,621,1436,30,14,13,2
East China Township Precinct 1,3276,2495,76.16,848,1513,32,22,6,3
Emmett Township Precinct 1,2036,1585,77.85,449,1078,20,7,5,2
Fort Gratiot Township Precinct 1,2665,1851,69.46,815,968,23,16,3,1
Fort Gratiot Township Precinct 2,2304,1619,70.27,606,953,12,13,4,2
Fort Gratiot Township Precinct 3,1798,1285,71.47,507,718,25,5,3,1
Fort Gratiot Township Precinct 4,3081,2235,72.54,855,1295,20,15,6,0
Grant Township Precinct 1,1553,1168,75.21,329,771,20,9,6,0
Greenwood Township Precinct 1,1195,892,74.64,270,587,13,5,1,2
Ira Township Precinct 1,2052,1370,66.76,467,852,13,12,2,4
Ira Township Precinct 2,2009,1573,78.3,355,1161,18,8,7,2
Kenockee Township Precinct 1,2021,1458,72.14,428,986,9,4,5,0
Kimball Township Precinct 1,2202,1390,63.12,484,832,28,11,14,1
Kimball Township Precinct 2,2904,1872,64.46,596,1186,41,11,4,5
Kimball Township Precinct 3,3066,2065,67.35,616,1344,26,18,6,5
Lynn Township Precinct 1,978,735,75.15,200,507,6,6,1,0
Marine City Precinct 1,1631,1118,68.55,454,605,17,15,4,1
Marine City Precinct 2,1913,1187,62.05,418,690,15,11,10,4
Marysville City Precinct 1,2547,1754,68.87,655,1026,18,15,2,4
Marysville City Precinct 2,1972,1372,69.57,570,736,14,11,3,2
Marysville City Precinct 3,1802,1334,74.03,464,819,13,6,3,3
Marysville City Precinct 4,2313,1685,72.85,673,931,17,9,4,3
Memphis City Precinct 2,265,201,75.85,73,122,2,0,1,0
Mussey Township Precinct 1,3287,2234,67.96,634,1505,25,13,10,3
Port Huron City Precinct 1,2142,1477,68.95,726,686,18,12,4,2
Port Huron City Precinct 2,1973,1449,73.44,676,698,18,18,2,2
Port Huron City Precinct 3,2182,1550,71.04,655,820,17,10,9,0
Port Huron City Precinct 4,2375,1269,53.43,564,624,31,15,9,5
Port Huron City Precinct 5,2186,1055,48.26,518,457,21,15,6,2
Port Huron City Precinct 6,2441,1292,52.93,584,597,34,21,12,7
Port Huron City Precinct 7,2459,937,38.1,477,377,24,25,10,2
Port Huron City Precinct 8,2672,1377,51.53,658,620,29,27,7,3
Port Huron City Precinct 9,2374,1306,55.01,630,607,19,19,9,3
Port Huron City Precinct 10,2375,1168,49.18,668,419,27,17,5,2
Port Huron Township Precinct 1,2244,1567,69.83,561,938,19,11,5,2
Port Huron Township Precinct 2,2085,1534,73.57,576,907,12,7,5,0
Port Huron Township Precinct 3,2002,1172,58.54,483,629,19,7,4,2
Port Huron Township Precinct 4,2215,1094,49.39,475,543,33,15,12,1
Richmond City Precinct 1,3,1,33.33,0,1,0,0,0,0
Riley Township Precinct 1,2668,2082,78.04,497,1501,28,12,4,4
St. Clair City Precinct 1,1510,1175,77.81,417,714,12,10,3,2
St. Clair City Precinct 2,1579,1190,75.36,458,692,11,4,2,0
St. Clair City Precinct 3,1501,1087,72.42,417,617,20,5,1,0
St. Clair Township Precinct 1,3075,2472,80.39,792,1602,13,9,4,1
St. Clair Township Precinct 2,2839,2158,76.01,607,1448,19,14,3,2
Wales Township Precinct 1,2666,2019,75.73,580,1342,29,18,8,1
Yale City Precinct 1,1402,931,66.41,301,586,10,9,2,2
