precinct,registered_voters,ballots_cast,turnout,democratic_party,republican_party,libertarian_party_us,taxpayers_party,working_class_party,green_party,natural_law_party
Algonac City Precinct 1,1538,1134,73.73,168,473,4,0,5,1,0
Algonac City Precinct 2,1996,1345,67.38,210,565,3,1,3,3,1
Berlin Township Precinct 1,2521,1996,79.17,216,845,4,0,2,1,0
Brockway Township Precinct 1,1611,1187,73.68,121,545,0,0,0,0,0
Burtchville Township Precinct 2,1606,1192,74.22,181,385,3,0,4,2,0
Burtchville Township Precinct,3,1928,1234,64,268,369,9,3,5,2
Casco Township Precinct 1,1656,1027,62.02,141,416,0,0,2,0,0
Casco Township Precinct 2,1659,1315,79.26,162,516,2,1,2,0,0
China Township Precinct 1,1667,1268,76.06,151,390,0,0,0,2,0
China Township Precinct 2,1326,953,71.87,108,300,2,1,2,0,0
Clay Township Precinct 1,2488,1712,68.81,212,800,7,0,6,1,0
Clay Township Precinct 3,2003,1582,78.98,198,748,3,0,0,0,0
Clay Township Precinct 4,1049,850,81.03,106,353,0,0,1,0,1
Clay Township Precinct 5,2386,1748,73.26,224,736,4,1,3,0,0
Clyde Township Precinct 1,2918,2222,76.15,325,735,4,2,5,1,1
Clyde Township Precinct 2,1778,1257,70.7,175,503,1,3,5,1,2
Columbus Township Precinct 1,1998,1574,78.78,146,676,9,0,5,2,0
Columbus Township Precinct 3,1353,990,73.17,122,431,4,1,7,0,0
Cottrellville Township Precinct 1,2929,2169,74.05,205,757,6,4,6,0,1
East China Township Precinct 1,3276,2495,76.16,376,844,8,6,6,3,0
Emmett Township Precinct 1,2036,1585,77.85,179,620,3,0,8,1,0
Fort Gratiot Township Precinct 1,2665,1851,69.46,399,526,2,3,4,2,1
Fort Gratiot Township Precinct 2,2304,1619,70.27,261,475,7,2,3,1,1
Fort Gratiot Township Precinct 3,1798,1285,71.47,247,425,4,0,2,1,0
Fort Gratiot Township Precinct 4,3081,2235,72.54,360,671,6,3,6,3,2
Grant Township Precinct 1,1553,1168,75.21,160,446,3,0,4,1,1
Greenwood Township Precinct 1,1195,892,74.64,119,358,6,3,4,1,0
Ira Township Precinct 1,2052,1370,66.76,266,568,6,2,4,1,1
Ira Township Precinct 2,2009,1573,78.3,160,746,5,2,1,0,0
Kenockee Township Precinct 1,2021,1458,72.14,150,558,3,2,5,0,0
Kimball Township Precinct 1,2202,1390,63.12,207,481,9,1,10,4,2
Kimball Township Precinct 2,2904,1872,64.46,314,648,6,5,9,1,5
Kimball Township Precinct 3,3066,2065,67.35,264,722,12,3,8,1,1
Lynn Township Precinct 1,978,735,75.15,85,329,0,1,1,0,0
Marine City Precinct 1,1631,1118,68.55,232,368,6,2,2,1,1
Marine City Precinct 2,1913,1187,62.05,209,447,5,1,6,0,2
Marysville City Precinct 1,2547,1754,68.87,306,546,7,1,3,5,0
Marysville City Precinct 2,1972,1372,69.57,253,400,5,1,3,2,0
Marysville City Precinct 3,1802,1334,74.03,191,374,5,0,4,1,1
Marysville City Precinct 4,2313,1685,72.85,276,293,3,1,4,2,1
Memphis City Precinct 2,265,201,75.85,38,68,0,0,1,0,1
Mussey Township Precinct 1,3287,2234,67.96,341,919,4,2,8,3,3
Port Huron City Precinct 1,2142,1477,68.95,381,394,4,1,2,1,1
Port Huron City Precinct 2,1973,1449,73.44,276,375,2,3,6,1,1
Port Huron City Precinct 3,2182,1550,71.04,318,453,7,1,1,2,1
Port Huron City Precinct 4,2375,1269,53.43,307,372,10,3,9,2,1
Port Huron City Precinct 5,2186,1055,48.26,290,250,6,2,8,5,3
Port Huron City Precinct 6,2441,1292,52.93,354,361,8,7,16,1,3
Port Huron City Precinct 7,2459,937,38.1,317,239,3,4,6,9,1
Port Huron City Precinct 8,2672,1377,51.53,375,357,11,2,16,2,1
Port Huron City Precinct 9,2374,1306,55.01,396,347,5,2,9,1,4
Port Huron City Precinct 10,2375,1168,49.18,441,270,4,2,5,4,0
Port Huron Township Precinct 1,2244,1567,69.83,286,532,2,1,6,1,0
Port Huron Township Precinct 2,2085,1534,73.57,231,481,5,2,9,1,1
Port Huron Township Precinct 3,2002,1172,58.54,242,386,7,2,9,2,0
Port Huron Township Precinct 4,2215,1094,49.39,297,372,8,4,8,8,1
Richmond City Precinct 1,3,1,33.33,0,0,0,0,0,0,0
Riley Township Precinct 1,2668,2082,78.04,194,818,4,1,5,1,1
St. Clair City Precinct 1,1510,1175,77.81,218,402,7,1,3,3,1
St. Clair City Precinct 2,1579,1190,75.36,211,383,4,2,2,1,0
St. Clair City Precinct 3,1501,1087,72.42,205,367,4,0,3,3,0
St. Clair Township Precinct 1,3075,2472,80.39,335,846,3,1,6,0,1
St. Clair Township Precinct 2,2839,2158,76.01,258,760,2,1,4,2,1
Wales Township Precinct 1,2666,2019,75.73,239,646,6,4,6,2,1
Yale City Precinct 1,1402,931,66.41,149,355,5,4,6,1,0
